국어	수학	과학
89	61	70
93	92	77
51	15	71
14	61	62
76	45	5
35	36	63
75	42	25
30	34	49
89	17	50
81	45	29
51	32	97
61	90	94
31	75	4
11	9	74
58	20	94
55	85	9
41	82	90
69	66	11
23	21	68
61	7	52
58	85	46
26	72	73
54	18	61
33	96	13
75	40	84
33	19	94
17	35	95
50	42	62
87	62	61
66	81	77
47	86	77
5	22	100
34	61	8
96	85	42
53	92	9
69	64	13
36	53	35
89	30	89
42	28	37
18	84	76
43	65	29
22	65	11
79	59	27
8	94	94
62	54	45
10	26	7
22	76	61
86	10	69
37	47	11
29	77	45
16	3	75
54	15	72
66	39	51
18	19	73
83	41	96
14	95	13
75	22	63
90	33	68
79	9	37
9	26	51
23	12	75
74	21	25
53	45	65
19	19	68
45	84	46
3	76	4
80	58	24
58	56	32
33	64	94
57	6	56
16	8	53
61	87	39
50	78	72
18	10	4
31	21	84
74	53	86
34	71	71
57	20	20
78	66	87
84	79	30
85	37	73
14	54	28
3	36	38
37	62	42
39	51	96
65	66	28
77	99	40
24	58	75
64	4	31
35	33	43
89	9	53
47	14	48
90	94	54
69	90	65
49	41	49
3	47	41
82	46	29
9	92	89
84	11	50
32	60	18
3	8	39
76	62	80
80	79	73
96	91	81
90	75	48
80	100	60
68	65	36
12	36	84
43	10	56
24	21	88
22	17	48
27	16	91
40	17	35
69	70	36
10	72	21
75	98	22
58	70	14
29	50	86
71	25	1
10	81	7
62	79	29
58	67	87
67	82	18
5	81	92
23	72	49
12	54	26
56	22	30
30	57	47
98	43	40
5	100	35
5	88	56
96	69	36
82	76	24
98	40	19
97	76	4
34	65	52
58	53	31
82	65	77
6	72	7
21	48	45
12	84	23
61	5	20
61	43	36
78	93	61
25	24	63
89	16	6
78	64	4
8	87	17
20	13	86
84	10	75
88	12	26
37	74	24
18	64	50
78	52	46
43	34	16
10	92	90
64	50	69
36	94	57
1	11	30
9	73	71
77	27	14
24	10	88
74	71	76
97	2	57
69	91	27
61	24	71
88	92	33
71	76	12
55	4	13
1	64	81
40	31	39
64	13	70
97	32	23
64	83	69
54	6	65
86	59	24
69	87	1
62	59	60
1	31	37
46	71	6
14	100	27
28	19	36
42	63	30
17	97	9
34	56	78
80	86	61
57	3	70
79	88	30
90	5	25
88	26	74
58	7	90
71	41	6
60	24	59
33	51	46
59	26	2
19	98	21
44	24	82
83	52	89
97	14	69
34	91	53
16	42	12
16	67	55
40	95	49
18	68	72
91	95	61
32	99	83
51	38	42
17	81	35
10	11	6
2	83	16
58	4	19
11	3	51
31	66	37
32	54	50
40	52	81
4	66	52
42	53	79
89	25	32
22	69	71
33	22	45
15	37	57
28	98	76
49	15	68
75	49	46
31	70	42
45	67	53
95	41	3
53	23	36
25	100	44
12	57	99
56	83	5
92	37	88
86	78	52
40	77	16
14	13	94
29	68	63
75	94	97
81	84	91
10	64	83
14	84	46
91	14	3
13	71	21
34	31	72
69	46	54
83	90	53
96	63	99
10	67	66
51	7	19
35	40	50
12	92	90
98	16	75
3	44	52
60	36	28
52	34	90
13	9	78
23	39	12
8	48	72
13	16	34
59	76	44
26	100	92
56	67	26
66	63	71
94	65	96
74	88	1
98	53	62
17	54	74
20	9	38
44	33	26
97	34	46
23	38	82
4	24	98
54	73	3
60	80	56
11	28	19
94	81	18
25	46	72
79	63	9
93	84	31
64	4	40
43	7	60
37	53	7
20	26	79
84	87	30
20	27	21
95	85	6
51	48	31
36	20	53
99	70	51
14	84	27
15	45	26
54	64	44
83	46	3
4	31	34
58	66	67
17	87	27
44	38	29
72	61	21
14	37	26
54	81	50
80	23	55
39	83	42
27	7	73
49	14	6
75	16	26
41	17	8
44	2	50
8	74	92
24	8	28
61	78	87
18	99	35
63	13	73
17	23	53
34	83	79
45	65	99
84	43	80
43	24	48
52	93	40
76	8	25
48	30	81
30	22	11
31	78	68
77	43	73
65	25	15
49	56	7
42	9	61
72	27	48
79	26	91
49	14	78
97	18	48
49	54	74
61	47	25
63	48	72
2	96	78
29	92	35
64	91	81
9	65	72
56	64	19
84	80	14
86	15	63
20	87	37
69	54	23
57	58	26
22	76	36
20	90	84
12	51	55
27	72	98
1	61	48
82	54	61
96	93	6
30	24	69
56	6	73
83	8	8
36	30	5
64	47	20
16	4	79
5	52	79
38	95	66
99	74	58
48	59	63
24	58	7
3	53	53
25	9	75
93	65	26
13	76	75
8	98	82
81	57	82
50	90	84
11	86	41
67	34	91
71	39	31
40	16	48
10	77	39
66	80	76
39	50	66
67	3	94
72	55	98
3	24	40
74	23	72
14	31	8
9	80	92
62	98	34
80	83	8
34	36	58
69	79	40
66	41	8
60	42	45
13	73	52
15	80	42
86	28	79
54	15	64
8	63	35
75	92	69
49	55	58
74	65	21
41	60	58
54	62	71
40	34	49
77	4	37
1	38	5
33	56	50
55	3	89
42	63	64
60	76	69
33	73	18
29	38	39
45	67	8
60	36	14
81	1	46
8	78	33
32	81	5
44	34	58
82	88	76
